source_id,retrieved_at_utc,publisher_release_date,vintage_label,sha256,n_rows,n_geographies,schema_fingerprint,ingest_method,ingested_by,status,notes
cpcn_requirements,,,,7fdc6544c6428e24daae843896288a9fba6bf3a15e4b4664f4d96e945e4f6456,50,50,bc2a90791b4023052f61b86ae1fc33a09826e4a6bf0e9656388bcf7fdd049283,manual,scripts/03_seed_manifest.R,pending,"Undated. _GPT filename indicates LLM-generated statutory research; needs human review (audit A-4). No vintage could be evidenced, so this stays pending rather than being given a made-up date."
dev_program_db,,,,1d87934587fc7c71ad1e027ec879520210d9a3060ea5d2cc070363762396980f,2444,56,192ca9182eb4ea5f8b3f38798a3473a31986d3e5dcdbbe95a50a4d302449782d,manual,scripts/03_seed_manifest.R,pending,"SQL Server export, undated. Publisher unidentified (audit A-2). No vintage could be evidenced, so this stays pending rather than being given a made-up date."
drone_facility_announcements,,,2022-2025,05b296b8308e5ae82306731f2cfd6f787c870789db10a0bc9521b926d7201368,12,9,2d5fca2b6784892e2388810ac0b0088459f9264401752c6bcb9fe420a686ff12,manual,scripts/03_seed_manifest.R,ok,Announcement dates span 2022-2025; hand-compiled from press sources.
dsire_policy_count,,,,,,,,manual,scripts/03_seed_manifest.R,pending,"No producer in this repository and no recorded endpoint. Indicator holds sample data only. No vintage could be evidenced, so this stays pending rather than being given a made-up date."
eia_860m_generators,,2026-05-31,2026-M05,46ff71d90723e4dfe766f6fe191160d92ff28cb17d5d5f5a55eeed562067995d,28048,,c523b8a624260eb915fb5921bfe7e7cb79e30af9f13eea9c88ded169a68aea56,manual,scripts/03_seed_manifest.R,ok,Filename encodes the release month. NOTE: 3 committed generator workbooks are HTML error pages (F-12).
eia_861m_sales_revenue,,2025-11-30,2025-M11,28a0cde525d18af035efbb2233906da16015a1ef07498988b3f1b3c9657944f4,9742,51,2ad8c67b01f4ceb4ad48f1c294789cda8a8370d651c2d2307b0bf5556d5395e6,manual,scripts/03_seed_manifest.R,ok,Latest Year/Month present in the committed workbook is 2025-11 (Preliminary).
eig_dynamism,,2022-12-31,2022,dbc782335fce03e8d4df706500e0cc03443d65cad988e2df36d34f8b509cd407,1581,,5737bc99ff865d6421bcecfd94e820648373919f41ef1b35a877e308aa926024,manual,scripts/03_seed_manifest.R,ok,"Panel ends 2022 and the code filters to max(year), so the indicator is a 2022 vintage."
fcc_pea_county_crosswalk,,,FCC-PEA,a1f177239b1adcc793f79e30099d41437290a22fd7c5cd788e708f7626761e94,3236,57,64c3b13bb67fe7c2bd3768c94b96dea91605b8429513bd8d4b9086c3158bd82b,manual,scripts/03_seed_manifest.R,ok,"Sheet 3 t_FCC_PEA_Counties, 3,236 county rows across 416 PEAs. Verified identical to the FCC original."
fcc_pea_shapefile,,,FCC-PEA,cb43a9b00f51c02ffda8875814be8c23d02001cbc37e499a4604775d98472aa4,,,,manual,scripts/03_seed_manifest.R,ok,416 PEAs. Undated by the publisher; static geography.
gjf_subsidy_tracker,,,awards-through-2024,9d376794798f84ca501b4d95598e1f4228608070001bdee9f156a7c60e3c0497,925,41,5e57e8765374876dc3f1fa0467794e687c01e620cb470fc05a703fc34ff322e7,manual,scripts/03_seed_manifest.R,ok,Max award Year in the committed extract is 2024; the file itself is undated. Licensed; should not be committed (F-13).
lbnl_interconnection_queue,,2024-12-31,thru2024_v2,d816467f629a13ef4013dee000129d61f8e4d7fcd8ba514c404a4e140dfec991,,,,manual,scripts/03_seed_manifest.R,ok,Filename states coverage through 2024; URL path indicates a 2025-08 release.
nrel_supply_curve,,,,,,,,manual,scripts/03_seed_manifest.R,pending,"No producer in this repository; computed in a script that is not committed here. No vintage could be evidenced, so this stays pending rather than being given a made-up date."
regdata_subnational,,,2020-2022,b6d69f306c38c6bb7a4dd3bd9375cac475504f4bd8d887963ebfadba164c541a,69,69,64ced0b38e057689da6d4916808f0a208062c3c1b7285b2f1bc1130bb5272e6c,manual,scripts/03_seed_manifest.R,ok,Period codes 2020-2022. No release date and no recorded endpoint.
rmi_employment_lq,,,,,,,,manual,scripts/03_seed_manifest.R,pending,"No producer in this repository; legacy script reads an undefined bundle_lq object. No vintage could be evidenced, so this stays pending rather than being given a made-up date."
rmi_feasibility,,,,,,,,manual,scripts/03_seed_manifest.R,pending,"No producer in this repository; internal analysis output. Indicators hold sample data only. No vintage could be evidenced, so this stays pending rather than being given a made-up date."
sia_semiconductor_investment,,,,ea53e025ce095c1e9c183fe361091e74eed89e3e40b5e6dc0447905c6a629f45,140,29,d1a2a9afaa16a8a1c354e0383cb64ea4ab8be2cbc33492e5b81129426586c055,manual,scripts/03_seed_manifest.R,pending,"Hand-compiled, undated. 140 projects across 29 states; 43 rows have 'Not Available' project size. No vintage could be evidenced, so this stays pending rather than being given a made-up date."
solar_ordinances,,,,fd2115cf023be65bba6587439b467789dd4a315a1b2358df20fbc538e11aec0f,1412,33,568ac868206dec1e8d88f07896eb28f491844a8f229f54247384972a4d4b1ad9,manual,scripts/03_seed_manifest.R,pending,"Ordinance years 2009-2021; file itself undated. Covers 34 of 50 states. No vintage could be evidenced, so this stays pending rather than being given a made-up date."
spot_gap_analysis,,,,82ffb1a32b8ba6269c9c47d4152aed86afd86feda6109d8963082839e01e0303,,,,manual,scripts/03_seed_manifest.R,pending,"One worksheet per state. Undated; publisher unidentified (audit A-1). No vintage could be evidenced, so this stays pending rather than being given a made-up date."
state_sepa,,,,4d56c5bf5c13fb520b19916b2c7f95fa7e0a3740d698263e3980e0910ad548b5,50,50,1f3123b87853b7f547d8266ebed5090dbeb1bdd9458f137628846177502b98ea,manual,scripts/03_seed_manifest.R,pending,"Undated, no citations. No vintage could be evidenced, so this stays pending rather than being given a made-up date."
